episode,scramble,solved,steps,reward,epsilon,solve_rate,avg_steps,avg_reward,total_solves,best_streak,tile_accuracy
2450,3,true,5,98.7667,0.782773,0.0800,23.18,3.9983,240,4,0.3333
2460,3,true,1,100.0000,0.781991,0.1000,22.70,6.0233,242,4,0.0000
2470,3,false,25,-2.0833,0.781209,0.1000,22.70,6.0858,242,4,0.2500
2480,3,false,25,-2.5000,0.780428,0.1100,22.44,7.2378,244,4,0.1667
2490,3,true,5,97.5167,0.779648,0.1300,22.04,9.3840,247,4,0.3333
2500,3,false,25,-3.3333,0.778869,0.1400,21.80,10.3923,248,4,0.2500
2510,3,false,25,-7.0833,0.778168,0.1300,22.02,9.3360,249,4,0.2083
2520,3,false,25,-7.5000,0.777313,0.1300,22.02,9.3818,249,4,0.0833
2530,3,false,25,-7.5000,0.776536,0.1200,22.34,8.3363,250,4,0.1667
2540,3,false,25,-4.1667,0.775760,0.1300,22.14,9.3823,252,4,0.2500
2550,3,false,25,-7.5000,0.775062,0.1300,22.10,9.4738,253,4,0.1667
2560,3,false,25,-5.4167,0.774287,0.1200,22.38,8.4448,254,4,0.0833
2570,3,false,25,-1.6667,0.773436,0.1300,22.18,9.5117,255,4,0.2917
2580,3,false,25,-3.7500,0.772663,0.1100,22.66,7.3867,255,4,0.0417
2590,3,false,25,-3.7500,0.771967,0.0900,23.16,5.1888,256,4,0.1667
2600,3,false,25,-3.7500,0.771119,0.0800,23.40,4.1888,256,4,0.0417
2610,3,false,25,-1.2500,0.770348,0.0900,23.16,5.2805,258,4,0.3333
2620,3,false,25,-3.7500,0.769578,0.1100,22.70,7.4452,260,4,0.2083
2630,3,false,25,-4.5833,0.768809,0.1100,22.62,7.4698,261,4,0.1667
2640,3,false,25,-2.5000,0.768040,0.1100,22.64,7.4928,263,4,0.2917
2650,3,false,25,-2.0833,0.767349,0.1000,22.88,6.4720,263,4,0.2083
2660,3,false,25,-4.5833,0.766506,0.1200,22.36,8.6385,266,4,0.1250
2670,3,false,25,-1.2500,0.765816,0.1200,22.32,8.6175,267,4,0.2917
2680,3,true,1,100.0000,0.764974,0.1400,21.88,10.7510,269,4,0.3333
2690,3,false,25,-3.3333,0.764209,0.1500,21.54,11.7485,271,4,0.0833
2700,3,false,25,-0.4167,0.763446,0.1600,21.36,12.6758,272,4,0.3750
2710,3,false,25,0.4167,0.762682,0.1500,21.58,11.7528,273,4,0.4583
2720,3,false,25,-1.2500,0.761920,0.1400,21.80,10.7715,274,4,0.3750
2730,3,false,25,-2.5000,0.761235,0.1300,22.04,9.7965,274,4,0.2083
2740,3,false,25,-2.9167,0.760398,0.1400,21.82,10.9320,277,4,0.1667
2750,3,false,25,-1.2500,0.759638,0.1400,21.82,10.7820,277,4,0.5417
2760,3,false,25,-1.2500,0.758878,0.1200,22.30,8.7403,278,4,0.2917
2770,3,false,25,-1.2500,0.758196,0.1300,22.16,9.9553,280,4,0.2917
